Herb_id,Herb_Chinese,Herb_Pinyin,Herb_Latin,Herb_English,Properties_Chinese,Properties_English,Meridians_Chinese,Meridians_English,Class_Chinese,Class_English,TCMSP_id,Mol_id,Molecule_name,Molecule_formula,Molecule_weight,PubChem_CID,CAS_id,OB_score,Type,Link_ingredient_id,Herb_Aliases,Molecule_Aliases
34,半边莲,Banbianlian,"Lobeliae Chinensis Herba,Herba Lobeliae Chinensis",Chinese Lobelia Herb,"辛,平","Pungent,Calm","心,小肠,肺","Heart,Small Intestine,Lung",清热解毒药,Antipyretic Detoxicate Drugs,34.0,2529.0,Beta-Sitosterol,C29H50O|c29h50o,414.713|414.79,222284,83-46-5,36.91390583,,34.0,半边莲,"A840577; 16-(5-ethyl-6-methyl-heptan-2-yl)-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-ol; 16-(5-ethyl-6-methylheptan-2-yl)-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-ol"
34,半边莲,Banbianlian,"Lobeliae Chinensis Herba,Herba Lobeliae Chinensis",Chinese Lobelia Herb,"辛,平","Pungent,Calm","心,小肠,肺","Heart,Small Intestine,Lung",清热解毒药,Antipyretic Detoxicate Drugs,34.0,2553.0,Beta-Sitosterol,C29H50O|c29h50o,414.713|414.79,222284,83-46-5,36.91390583,,34.0,半边莲,"A840577; 16-(5-ethyl-6-methyl-heptan-2-yl)-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-ol; 16-(5-ethyl-6-methylheptan-2-yl)-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-ol"
37,薄荷,Bohe,"Menthae Haplocalycis Herba,Herba Menthae","Mentha, Peppermint","辛,凉","Pungent,Cool","肺,肝","Lung,Liver",辛凉解表药,Pungent Cool Diaphoretics,37.0,2619.0,Formononetin,C16H12O4,268.28,5280378,485-72-3,69.67388061,,37.0,薄荷,
40,北沙参,Beishashen,"Radix Glehniae,Glehniae Radix",root of Coastal Glehnia,"甘,微苦,微寒","Sweet,Slightly Bitter,Slightly Cold","肺,胃","Lung,Stomach",补阴药,Yin-Tonifying Medicinal,40.0,2577.0,Nicotinic Acid,C6H5NO2,123.12,938,123574-58-3|59-67-6,47.64529278,,40.0,北沙参,"AC1LD8VU; 2906-42-5; Nicotinic acid,[carboxyl-14C]; DTXSID30349353; nicotinic acid, [carboxy-14C]-"
44,蓖麻子,Bimazi,"Semen Ricini,Ricini Semen",Castor Seed,"甘,辛,平,有毒","Sweet,Pungent,Calm,Toxic","大肠,肺","Large Intestine,Lung",拔毒化腐生肌药,"External Medicinal (Draw Out Toxin, Resolve Putridity)",44.0,2576.0,Linolenic Acid,C18H30O2|C18H32O2,278.433|278.48,5280934,463-40-1,45.00906591,,44.0,蓖麻子,"Elaidolinolenic acid; Elaidolinoleic acid; UNII-PO45E3L8YU; linolenelaidic acid; 9,12,15-Octadecatrienoic acid"
44,蓖麻子,Bimazi,"Semen Ricini,Ricini Semen",Castor Seed,"甘,辛,平,有毒","Sweet,Pungent,Calm,Toxic","大肠,肺","Large Intestine,Lung",拔毒化腐生肌药,"External Medicinal (Draw Out Toxin, Resolve Putridity)",44.0,2588.0,Linolenic Acid,C18H30O2|C18H32O2,278.433|278.48,5280934,463-40-1,45.00906591,,44.0,蓖麻子,"Elaidolinolenic acid; Elaidolinoleic acid; UNII-PO45E3L8YU; linolenelaidic acid; 9,12,15-Octadecatrienoic acid"
53,草苁蓉,Caocongrong,,Boschniakia Rossica Herba,"甘,咸,温","Sweet,Salty,Warm",,,补阳药,Yang Reinforcing Drugs,53.0,2555.0,Licochalcone A,C21H22O4,338.43,5318998,58749-22-7,40.78965199,,53.0,草苁蓉,licochalcone a; 58749-22-7; Licochalcone-A; UNII-JTV5467968; LICOAGROCHACONE A
65,赤芍,Chishao,"Radix Paeoniae Rubra,Paeoniae Radix Rubra",Red Peony root,"苦,微寒","Bitter,Slightly Cold",肝,Liver,清热凉血药,Heat Clearing Blood Cooling Drugs,65.0,2548.0,Lignoceric Acid,C24H48O2,368.72,11197,557-59-5,14.9035593,,65.0,赤芍,tetracosanoate; lignocerate; n-tetracosanoate; tetracosanate; tetracosoate
79,穿心莲,Chuanxinlian,"Andrographis Herba,Herba Andrographitis",all-grass of Common Androgrphis,"苦,寒","Bitter,Cold","心,肺,大肠,膀胱","Heart,Lung,Large Intestine,Bladder",清热解毒药,Antipyretic Detoxicate Drugs,79.0,2647.0,Stearic Acid,C18H36O2,284.48|284.54,5281,1957/11/4|57-11-4,17.82542938,,79.0,穿心莲,"Octadecanoate; Stearate; Octadecanoic acid, ion(1-); stearic acid, ion(1-); 646-29-7"
82,葱白,Congbai,Bulbus Allii Fistulosi,"Allium bulb, Wild scallion, Chinese green onion","辛,温","Pungent,Warm","肺,胃","Lung,Stomach",辛温解表药,Pungent-Warm Exterior-Releasing Medicinal,82.0,2528.0,Methyl Palmitate,C17H34O2,270.454|270.51,8181,112-39-0,18.08756063,,82.0,葱白,"ETHYL PALMITATE; Ethyl hexadecanoate; 628-97-7; Hexadecanoic acid, ethyl ester; Palmitic acid ethyl ester"
90,大枣,Dazao,"Fructus Zizyphi Jujubae,Jujubae Fructus",Jujube Chinese date,"甘,温","Sweet,Warm","脾,胃,心","Spleen,Stomach,Heart",补气药,Qi Reinforcing Drugs,90.0,2635.0,Ellagic Acid,C14H6O8,302.2,5281855,476-66-4,43.06455858,,90.0,大枣,"Ellagic acid dihydrate; Ellagic Acid, Dihydrate; 133039-73-3; 4,4&prime;,5,5&prime;,6,6&prime;-Hexahydroxydiphenic Acid 2,6,2&prime;,6&prime;-Dilactone; SCHEMBL2639621"
96,党参,Dangshen,"Codonopsis Radix,Radix Codonopsis Pilosulae",root Pilose Asiabell,"甘,平","Sweet,Calm","脾,肺","Spleen,Lung",补气药,Qi Reinforcing Drugs,96.0,2478.0,Caryophyllene Oxide,C15H24O,220.354|235.38,1742210,1139-30-6,45.75409821,,96.0,党参,isocaryophyllene oxide; Caryophyllene oxide 2; SCHEMBL17857878; NVEQFIOZRFFVFW-SIUPQYRZSA-N
96,党参,Dangshen,"Codonopsis Radix,Radix Codonopsis Pilosulae",root Pilose Asiabell,"甘,平","Sweet,Calm","脾,肺","Spleen,Lung",补气药,Qi Reinforcing Drugs,96.0,2692.0,Caryophyllene Oxide,C15H24O,220.354|235.38,1742210,1139-30-6,45.75409821,,96.0,党参,isocaryophyllene oxide; Caryophyllene oxide 2; SCHEMBL17857878; NVEQFIOZRFFVFW-SIUPQYRZSA-N
97,刀豆,Daodou,"Semen Cavaliae,Canaⅴ Aliae Semen",Jack Bean,"甘,温","Sweet,Warm","胃,肾","Stomach,Kidney",理气药,Qi Regulating Drugs,97.0,2531.0,Alpha-Terpineol,C10H18O,152.31|154.252,17100|443162,98-55-5,34.00869756,,97.0,刀豆,(-)-alpha-Terpineol; 10482-56-1; (L)-alpha-Terpineol; (S)-p-Menth-1-en-8-ol; UNII-21M14KDA67
97,刀豆,Daodou,"Semen Cavaliae,Canaⅴ Aliae Semen",Jack Bean,"甘,温","Sweet,Warm","胃,肾","Stomach,Kidney",理气药,Qi Regulating Drugs,97.0,2533.0,Alpha-Terpineol,C10H18O,152.31|154.252,17100|443162,98-55-5,34.00869756,,97.0,刀豆,(-)-alpha-Terpineol; 10482-56-1; (L)-alpha-Terpineol; (S)-p-Menth-1-en-8-ol; UNII-21M14KDA67
100,地耳草,Diercao,Herba Hyperici Japonici,all - grass of Japanese St. Johnswort,"甘,微苦,凉","Sweet,Slightly Bitter,Cool",,,利水渗湿药,Diuretic Dampness Excreting Drugs,100.0,2603.0,Myristic Acid,C14H28O2,228.42,11005,45184-05-2|544-63-8,21.18117264,,100.0,地耳草,Tetradecanoate; Myristate; tetradecoate; n-tetradecan-1-oate; n-tetradecoate
105,地榆,Diyu,"Sanguisorbae Radix,Radix Sanguisorbae",Root of Garden Burnet,"苦,酸,涩,微寒","Bitter,Sour,Astringent,Slightly Cold","肝,大肠","Liver,Large Intestine",凉血止血药,Blood-Cooling Hemostatic Medicinal,105.0,2661.0,Citric Acid,C6H8O7,192.14,311,77-92-9,56.2198911,,105.0,地榆,
111,冬葵果,Dongkuiguo,"Fructus Malvae,Malvae Fructus",Cluster Mallow Fruit,"甘,涩,凉","Sweet,Astringent,Cool",,,拔毒化腐生肌药,"External Medicinal (Draw Out Toxin, Resolve Putridity)",111.0,2569.0,Ceanothic Acid,C30H46O5,486.76,146158060|154701758|44588630|161352|133556241|578549,21302-79-4,33.41180976,,111.0,冬葵果,MEGxp0_000866; ACon0_000328; ACon1_000054; MolPort-001-741-019; NCGC00168838-01
112,豆蔻,Doukou,"Fructus Amomi Rotundus,Amomi Fructus Rotundus",Round Cardamon Fruit,"辛,温","Pungent,Warm","肺,脾,胃","Lung,Spleen,Stomach",化湿药,Dampness Removing Drugs,112.0,2536.0,Alphitolic Acid,C30H48O4,470.76|472.707,12305768,19533-92-7,23.38244923,,112.0,豆蔻,"NCGC00169506-02_C30H48O4_(2alpha,3beta,5xi,9xi,13xi,18xi)-2,3-Dihydroxylup-20(29)-en-28-oic acid"
123,防己,Fangji,"Stephaniae Tetrandrae Radix,Radix Stephaniae Tetrandrae",Root of Fourstamen Stephania,"苦,寒","Bitter,Cold","膀胱,肺","Bladder,Lung",祛风湿清热药,Wind-Dampnessdispelling And Heatclearing Medicinal,123.0,2581.0,Salicylic Acid,C7H6O3,138.121|138.13,338,69-72-7,32.12698718,,123.0,防己,salicylate; 2-Hydroxybenzoate; o-Hydroxybenzoate; Salicylate ion; Salicylate anion
144,谷精草,Gujingcao,"Flos Eriocauli,Eriocauli Flos",Pipewort Flower,"辛,甘,平","Pungent,Sweet,Calm","肝,肺","Liver,Lung",清热泻火药,Fire Purging Drugs,144.0,2487.0,Tetramethylpyrazine,C8H12N2,136.197|136.22,14296,1124-11-4,20.00690915,,144.0,谷精草,"Ligustrazine hydrochloride; 76494-51-4; Ligustrazine HCl; 2,3,5,6-tetramethylpyrazine hydrochloride; Pyrazine, tetramethyl-, hydrochloride"
147,瓜蒌,Gualou,Trichosanthis Fructus,Trichosanthes Kirilowii Maxim,"甘,微苦,寒","Sweet,Slightly Bitter,Cold","肺,胃,大肠","Lung,Stomach,Large Intestine",化痰药,Phlegresolving Medicine,147.0,2596.0,Cinnamic Acid,C9H8O2,148.17,444539,621-82-9,19.68248821,,147.0,瓜蒌,cis-cinnamate; cis-Cinnamic acidanion; AC1OAGPW; (2Z)-3-phenylacrylate; (Z)-3-phenylprop-2-enoate
175,槲寄生,Hujisheng,"Herba Visci,Visci Herba",Colored Mistletoe Herb,"苦,平","Bitter,Calm","肝,肾","Liver,Kidney",祛风湿筋骨药,Wind-Damp-Dispelling And Sinew-Bone-Strengthening Medicinal,175.0,2604.0,Nonanoic Acid,C9H18O2,158.239|158.27,8158,112-05-0,40.508858,,175.0,槲寄生,NONANOIC ACID; Pelargonic acid; 112-05-0; n-Nonanoic acid; Nonylic acid
181,化橘红,Huajuhong,"Exocarpium Citri Grandis,Citri Grandis Exocarpium",Pummelo Peel,"辛,苦,温","Pungent,Bitter,Warm","肺,脾","Lung,Spleen",理气药,Qi Regulating Drugs,181.0,2653.0,Naphthalene,C10H8|c10h8,128.173|128.18,931,91-20-3,27.55433918,,181.0,化橘红,"Graveolone; 16499-05-1; 8,8-Dimethyl-7,8-dihydro-pyrano[3,2-g]chromene-2,6-dione; 6,7-Dihydro-8,8-dimethyl-2h,8h-benzo(1,2-b:5,4-b')dipyran-2,6-dione; 6,7-Dihydro-8,8-dimethyl-2H,8H-benzo[1,2-b:5,4-b']dipyran-2,6-dione"
181,化橘红,Huajuhong,"Exocarpium Citri Grandis,Citri Grandis Exocarpium",Pummelo Peel,"辛,苦,温","Pungent,Bitter,Warm","肺,脾","Lung,Spleen",理气药,Qi Regulating Drugs,181.0,2674.0,Naphthalene,C10H8|c10h8,128.173|128.18,931,91-20-3,27.55433918,,181.0,化橘红,"Graveolone; 16499-05-1; 8,8-Dimethyl-7,8-dihydro-pyrano[3,2-g]chromene-2,6-dione; 6,7-Dihydro-8,8-dimethyl-2h,8h-benzo(1,2-b:5,4-b')dipyran-2,6-dione; 6,7-Dihydro-8,8-dimethyl-2H,8H-benzo[1,2-b:5,4-b']dipyran-2,6-dione"
212,荆芥,Jingjie,"Schizonepetae Herba,Herba Schizonepetae",all-grass of Fineleaf Schizonepeta,"辛,微温","Pungent,Slightly Warm","肺,肝","Lung,Liver",辛温解表药,Pungent-Warm Exterior-Releasing Medicinal,212.0,2592.0,Kaempferitrin,C21H20O10|C27H30O14,578.51|578.57,21159160|12305415|44258935|5486199|12305419|12305416,482-38-2,8.161500283,,212.0,荆芥,"Kaempferitrin; Kaempferol 3,7-dirhamnoside; SCHEMBL244260; LMPK12111865"
216,桔梗,Jiegeng,"Radix Platycodi,Platycodonis Radix",Platycodon Root,"苦,辛,平","Bitter,Pungent,Calm",肺,Lung,化痰药,Phlegresolving Medicine,216.0,2545.0,Glucuronic Acid,C6H10O7,194.16,65041|94715,576-37-4,46.18277235,,216.0,桔梗,beta-L-Altropyranuronic acid; SCHEMBL15596882; BIG1006; ZINC3869801
221,橘络,Juluo,,Citri Fructus Retinervus,"甘,苦,平","Sweet,Bitter,Calm","肝,肺,脾","Liver,Lung,Spleen",理气药,Qi Regulating Drugs,221.0,2538.0,Chebulagic Acid,C41H30O27|C41H32O28,954.672|954.7,250397|134694193|118701409|44576040|442674|102004756|72285|100988942,23094-71-5,14.58411231,,221.0,橘络,
222,橘叶,Juye,Folium Citri Tangerie,tangerine leaf,"苦,辛,平","Bitter,Pungent,Calm","肝,胃","Liver,Stomach",理气药,Qi Regulating Drugs,222.0,2539.0,Chebulinic Acid,C41H32O27|C41H34O28,956.688|956.72,452240|133564718|16745534|138857791|367138|118701044|99937814|250396|129896695|5315810|102004755|72284,18942-26-2,3.013720692,,222.0,橘叶,Chebulinic acid; MLS000697665; SMR000445569; D0Z9YK; CHEMBL1391063
254,漏芦,Loulu,"Rhapontici Radix,Radix Rhapontici",Uniflower Swisscentaury Root,"苦,寒","Bitter,Cold",胃,Stomach,清热解毒药,Antipyretic Detoxicate Drugs,254.0,2625.0,Asiatic Acid,C30H48O5,488.78,119034,464-92-6,41.38281219,,254.0,漏芦,Ambotz464-92-6
254,漏芦,Loulu,"Rhapontici Radix,Radix Rhapontici",Uniflower Swisscentaury Root,"苦,寒","Bitter,Cold",胃,Stomach,清热解毒药,Antipyretic Detoxicate Drugs,254.0,2629.0,Asiatic Acid,C30H48O5,488.78,119034,464-92-6,41.38281219,,254.0,漏芦,Ambotz464-92-6
260,罗汉果,Luohanguo,"Fructus Momordicae,Siraitiae Fructus",Grosvenor Momordica Fruit,"甘,凉","Sweet,Cool","肺,大肠","Lung,Large Intestine",化痰药,Phlegresolving Medicine,260.0,2613.0,Tanshinone I,C18H12O3|C18H13O3|C18H16O4,276.28|276.3,114917,568-73-0,29.26509916,,260.0,罗汉果,Tanshinone I; 568-73-0; Tanshinone A; Tanshinon I; Tanshinone
268,马齿苋,Machixian,"Portulacae Herba,Herba Portulacae",all-grass of Purslane,"酸,寒","Sour,Cold","肝,大肠","Liver,Large Intestine",清热解毒药,Antipyretic Detoxicate Drugs,268.0,2501.0,Bornyl Isovalerate,C15H26O2,238.268|238.41,6432702|60968|23623651|249573,76-50-6,15.37871328,,268.0,马齿苋,Bornyval; Hysterol; Bornyl isopentanoate; Bornyl isovalerianate; 2-Bornyl isovalerate
269,马兜铃,Madouling,Fructus Aristolochiae,Dutohmanspipe Fruit,"寒,微辛,苦","Cold,Slightly Pungent,Bitter","肺,大肠","Lung,Large Intestine",止咳平喘药,Antitussive Antiasthmetics,269.0,2571.0,Ginsenoside Rc,C53H90O22|c53h90o22,1079.27|1079.43,12855889|100018,11021-14-0,8.12585372,,269.0,马兜铃,"A802167; I06-0733; 2-(hydroxymethyl)-6-[6-(hydroxymethyl)-2-[[17-[2-[6-[[5-(hydroxymethyl)-3,4-bis(oxidanyl)oxolan-2-yl]oxymethyl]-3,4,5-tris(oxidanyl)oxan-2-yl]oxy-6-methyl-hept-5-en-2-yl]-4,4,10,14-tetramethyl-12-oxidanyl-1,2,3,5,6,7,8,9,11,12,13,15,16,17-tetradecahydrocy; 2-[[2-[[17-[2-[[6-[[3,4-dihydroxy-5-(hydroxymethyl)-2-oxolanyl]oxymethyl]-3,4,5-trihydroxy-2-oxanyl]oxy]-6-methylhept-5-en-2-yl]-12-hydroxy-4,4,10,14-tetramethyl-1,2,3,5,6,7,8,9,11,12,13,15,16,17-tetradecahydrocyclopenta[a]phenanthren-3-yl]oxy]-4,5-dihydr"
270,马钱子,Maqianzi,"Strychni Semen,Semen Strychni",Nux Vomica,"苦,温,有大毒","Bitter,Warm,Extremely Poisonous","肝,脾","Liver,Spleen",祛风湿散寒药,Wind-Dampnessdispelling And Colddispersing Medicinal,270.0,2574.0,Ginsenoside Rf,C42H72O14,801.14,441922|6441008,52286-58-5,15.32745324,,270.0,马钱子,
281,密蒙花,Mimenghua,"Buddlejae Flos,Flos Buddlejae",flower of Pale Butterflybush,"甘,微寒","Sweet,Slightly Cold",肝,Liver,清热泻火药,Fire Purging Drugs,281.0,2663.0,Corynoxeine,C22H26N2O4|C22H28N2O4,382.5,44568160,51014-29-0,57.12549812,,281.0,密蒙花,Corynoxeine; 630-94-4; UNII-27KIC0Q2VA; 27KIC0Q2VA; AK119809
309,佩兰,Peilan,"Eupatorii Herba,Herba Eupatorii",Fortune Eupatorium Herb,"辛,平","Pungent,Calm","脾,胃,肺","Spleen,Stomach,Lung",化湿药,Dampness Removing Drugs,309.0,2549.0,Quisqualic Acid,C5H7N3O5,189.15,40539,52809-07-1,4.36741036,,309.0,佩兰,QUISQUALIC ACID; Quisqualate; 52809-07-1; L-Quisqualic acid; (+)-Quisqualic acid
323,茄根,Qiegeng,Radix Solani Melongee,root of Garden Eggplant,"甘,辛,寒","Sweet,Pungent,Cold","脾,大肠,胃","Spleen,Large Intestine,Stomach",祛风湿清热药,Wind-Dampnessdispelling And Heatclearing Medicinal,323.0,2677.0,Resveratrol,C14H12O3,228.26,445154,501-36-0,19.07304353,,323.0,茄根,"cis-resveratrol; (Z)-resveratrol; 61434-67-1; Resveratrol, (Z)-; Cis resveratrol"
348,桑白皮,Sangbaipi,Mori Cortex,Cortex Mori,"甘,寒","Sweet,Cold",肺,Lung,止咳平喘药,Antitussive Antiasthmetics,348.0,2525.0,"3,3',4-Tri-O-Methylellagic Acid",C17H12O8,346.31,5281860,,22.80762165,,348.0,桑白皮,
380,水红花子,Shuihonghuazi,"Polygoni Orientalis Fructus,Fructus Polygoni Orientalis",Prince's-feather Fruit,"咸,微寒","Salty,Slightly Cold","肝,胃","Liver,Stomach",活血祛瘀药,Blood Activating Stasis Removing Drugs,380.0,2471.0,"3,6-Digalloylglucose",C20H20O14,484.4,,,31.41521237,,380.0,水红花子,"AC1O4QKO; [(2R,3R,4R,5R,6S)-3,5,6-trihydroxy-4-(3,4,5-trihydroxybenzoyl)oxyoxan-2-yl]methyl 3,4,5-trihydroxybenzoate"
381,四季青,Sijiqing,"Folium Llicis Chinensis,Ilicis Chinensis Folium",Purpleflower Holly Leaf,"苦,涩,凉","Bitter,Astringent,Cool","肺,大肠,膀胱","Lung,Large Intestine,Bladder",清热解毒药,Antipyretic Detoxicate Drugs,381.0,2469.0,Dihydrocorynantheine,C22H28N2O3,382.55,101287817|3039336|5316699|5351579,50439-68-4,14.33507601,,381.0,四季青,Isocorynantheidine; UNII-2CB4G689XT; 2CB4G689XT; 7729-22-8; 3-Isocorynantheidine
1,矮地茶,Aidicha,"Ardisiae Japonicae Herba,Ardisiae Japonicae",Japanese Ardisia Herb,"辛,微苦,平","Pungent,Slightly Bitter,Calm","肺,肝","Lung,Liver",止咳平喘药,Antitussive Antiasthmetics,1.0,,,,,,,,,,矮地茶,
2,艾叶,Aiye,"Folium Artemisiae Argyi,Artemisiae Argyi Folium",leaf of Argy Wormwood,"辛,苦,温,有小毒","Pungent,Bitter,Warm,Slightly Toxic","肝,脾,肾","Liver,Spleen,Kidney",温经止血药,Channel-Warming Hemostatic,2.0,,,,,,,,,,艾叶,
3,安息香,Anxixiang,Benzoinum,Benzoin,"辛,苦,平","Pungent,Bitter,Calm","心,脾","Heart,Spleen",开窍药,Resuscitative Stimulant; Resuscitative Medicinal,3.0,,,,,,,,,,安息香,
4,八角茴香,Bajiaohuixiang,"Fructus Anisi Stellati,Anisi Stellati Fructus",Chinese Star Anise,"辛,温","Pungent,Warm","肝,肾,脾,胃","Liver,Kidney,Spleen,Stomach",温里药,Warming Interior Drugs,4.0,,,,,,,,,,八角茴香,
5,八角莲,Bajiaolian,,Dysosmae Verspiellis Rhixoma Et Radix,"苦,辛,温,有毒","Bitter,Pungent,Warm,Toxic","肺,肝","Lung,Liver",清热解毒药,Antipyretic Detoxicate Drugs,5.0,,,,,,,,,,八角莲,
