AID,SID,CID,Activity_Outcome,Target_Accession,Target_GeneID,Activity_Value_uM,Activity_Name,Assay_Name,Assay_Type,PubMed_ID,Mol_id,NCBI_Gene_symbol,SymMap_Gene_id,SymMap_Gene_name,SymMap_Protein_name
880,26754425,5281515,Inactive,AAC39835,6002,,,qHTS Assay for Inhibitors of RGS12 GoLoco Motif Activity (Red Fluorophore),Confirmatory,,2500,RGS12,9899,regulator of G protein signaling 12,
880,26754425,5281515,Inactive,NP_002060,2770,,,qHTS Assay for Inhibitors of RGS12 GoLoco Motif Activity (Red Fluorophore),Confirmatory,,2500,GNAI1,1413,G protein subunit alpha i1,Guanine Nucleotide-binding Protein G(i) Subunit Alpha-1
881,26754425,5281515,Inactive,O15296,247,,Potency,qHTS Assay for Inhibitors of 15-hLO-2 (15-human lipoxygenase 2),Confirmatory,,2500,ALOX15B,4577,"arachidonate 15-lipoxygenase, type B",
884,26754425,5281515,Inactive,NP_059488,1576,,Potency,qHTS Assay for Inhibitors and Substrates of Cytochrome P450 3A4,Confirmatory,,2500,CYP3A4,883,cytochrome P450 family 3 subfamily A member 4,Cytochrome P450 3A4
885,26754425,5281515,Inactive,NP_059488,1576,,Potency,qHTS Assay for Activators of Cytochrome P450 3A4,Confirmatory,,2500,CYP3A4,883,cytochrome P450 family 3 subfamily A member 4,Cytochrome P450 3A4
887,26754425,5281515,Inactive,AAC52118,246,,Potency,qHTS Assay for Inhibitors of 15-hLO (15-human lipoxygenase),Confirmatory,,2500,ALOX15,4576,arachidonate 15-lipoxygenase,
889,26754425,5281515,Inactive,P55210,840,,Potency,qHTS Assay for Allosteric/Competitive Inhibitors of Caspase-7,Confirmatory,,2500,CASP7,481,caspase 7,Caspase-7
400125,103580488,3080635,Unspecified,P09917,240,25.1,IC50,Inhibition of 5-lipoxygenase,Confirmatory,9544564.0,2682,ALOX5,175,arachidonate 5-lipoxygenase,Arachidonate 5-lipoxygenase
400126,103580488,3080635,Unspecified,P23219,5742,200.0,IC50,Inhibition of COX1,Confirmatory,9544564.0,2682,PTGS1,2776,prostaglandin-endoperoxide synthase 1,Prostaglandin G/H Synthase 1
401452,103580488,3080635,Unspecified,P25409,81670,,,Effect on GPT in rat hepatocytes relative to control,Other,6418860.0,2682,GPT,1456,glutamic--pyruvic transaminase,Alanine Aminotransferase 1
437579,103579906,5742590,Active,O43741,5565,,,Induction of AMPK phosphorylation in human HepG2 cells at 10 uM by Western blot analysis in presence of 33 mM glucose,Other,19716700.0,2655,PRKAB2,9464,protein kinase AMP-activated non-catalytic subunit beta 2,
437579,103579906,5742590,Active,P54619,5571,,,Induction of AMPK phosphorylation in human HepG2 cells at 10 uM by Western blot analysis in presence of 33 mM glucose,Other,19716700.0,2655,PRKAG1,9466,protein kinase AMP-activated non-catalytic subunit gamma 1,
437579,103579906,5742590,Active,P54646,5563,,,Induction of AMPK phosphorylation in human HepG2 cells at 10 uM by Western blot analysis in presence of 33 mM glucose,Other,19716700.0,2655,PRKAA2,9462,protein kinase AMP-activated catalytic subunit alpha 2,
437579,103579906,5742590,Active,Q13131,5562,,,Induction of AMPK phosphorylation in human HepG2 cells at 10 uM by Western blot analysis in presence of 33 mM glucose,Other,19716700.0,2655,PRKAA1,9461,protein kinase AMP-activated catalytic subunit alpha 1,
437579,103579906,5742590,Active,Q9UGI9,53632,,,Induction of AMPK phosphorylation in human HepG2 cells at 10 uM by Western blot analysis in presence of 33 mM glucose,Other,19716700.0,2655,PRKAG3,9467,protein kinase AMP-activated non-catalytic subunit gamma 3,
437579,103579906,5742590,Active,Q9UGJ0,51422,,,Induction of AMPK phosphorylation in human HepG2 cells at 10 uM by Western blot analysis in presence of 33 mM glucose,Other,19716700.0,2655,PRKAG2,2715,Protein Kinase AMP-activated Non-catalytic Subunit Gamma 2,5'-AMP-activated Protein Kinase Subunit Gamma-2
437579,103579906,5742590,Active,Q9Y478,5564,,,Induction of AMPK phosphorylation in human HepG2 cells at 10 uM by Western blot analysis in presence of 33 mM glucose,Other,19716700.0,2655,PRKAB1,9463,protein kinase AMP-activated non-catalytic subunit beta 1,
437580,103579906,5742590,Active,P49841,2932,,,Induction of GSK3-beta phosphorylation in human HepG2 cells at 10 uM by Western blot analysis in presence of 33 mM glucose,Other,19716700.0,2655,GSK3B,1483,glycogen synthase kinase 3 beta,Glycogen Synthase Kinase-3 Beta
379521,103579906,5742590,Inactive,P18031,5770,,,Inhibition of PTP1B at 50 uM,Other,17125236.0,2655,PTPN1,2783,"protein tyrosine phosphatase, non-receptor type 1",Tyrosine-protein Phosphatase Non-receptor Type 1
402618,103579906,5742590,Unspecified,P06746,5423,26.5,IC50,Inhibition of DNA polymerase beta lyase activity,Confirmatory,15165161.0,2655,POLB,2650,DNA polymerase beta,DNA Polymerase Beta
2100,26665736,72,Active,NP_000143,2548,5.0119,Potency,qHTS Assay for Inhibitors and Activators of Human alpha-Glucosidase Cleavage of Glycogen,Confirmatory,,2489,GAA,1318,"Glucosidase Alpha, Acid",Lysosomal Alpha-glucosidase
485314,26665736,72,Active,NP_002681,5423,25.1189,Potency,qHTS Assay for Inhibitors of DNA Polymerase Beta,Confirmatory,,2489,POLB,2650,DNA polymerase beta,DNA Polymerase Beta
485317,26665736,72,Active,NP_005253,2671,,,HTS-Luminescent assay for inhibitors of ALR by detection of hydrogen peroxide production Measured in Biochemical System Using Plate Reader - 2036-02_Inhibitor_SinglePoint_HTS,Screening,,2489,GFER,1368,"Growth Factor, Augmenter Of Liver Regeneration",FAD-linked Sulfhydryl Oxidase ALR
568362,103211071,72,Active,P00915,759,1.08,Ki,Inhibition of human carbonic anhydrase 1 preincubated for 15 mins by CO2 hydration stopped-flow assay,Confirmatory,21282059.0,2489,CA1,434,carbonic anhydrase 1,Carbonic Anhydrase 1
568363,103211071,72,Active,P00918,760,0.47,Ki,Inhibition of human carbonic anhydrase 2 preincubated for 15 mins by CO2 hydration stopped-flow assay,Confirmatory,21282059.0,2489,CA2,436,Carbonic Anhydrase 2,Carbonic Anhydrase 2
568364,103211071,72,Active,Q16790,768,4.45,Ki,Inhibition of human carbonic anhydrase 9 preincubated for 15 mins by CO2 hydration stopped-flow assay,Confirmatory,21282059.0,2489,CA9,440,carbonic anhydrase 9,Carbonic Anhydrase 9
